id,location,issue,severity,resolution_required,action,target_date
D1,CLAUDE.md L30 vs four_scheme_benchmark.md row 4,"λ=80 vs λ=128 mixing: CLAUDE.md cites PLUM-128 analytical (977 = 30+69+878 permutations); measurements are PLUM-80 (1052 Griffin syscalls)",high,documentation,Already partially fixed in CLAUDE.md (PLUM-80 measured value disclosed). TODO: re-derive PLUM-80 analytical decomposition by plugging λ=80 params into PLUM §4.2 formula.,before thesis writeup
D2,four_scheme_benchmark.md L135-144,Trace cell formula arithmetic: '33 cells × 14 rounds × 1052 syscalls' = 486K but text claimed 37M. Off by factor ~76×.,medium,measurement OR documentation,Already flagged as TODO in four_scheme_benchmark.md. Open Griffin Fp192 chip source to find missing row-per-permutation factor.,before thesis writeup
D3,CLAUDE.md L33 (now fixed),"746 'multi-limb 192-bit modular multiplications' was conflated with total algebraic R1CS (10333). 746 is one sub-bucket (virtual-oracle response).",low,documentation,FIXED in CLAUDE.md (now states 10333 total with breakdown). No re-measurement needed.,done
D4,CLAUDE.md L72 → §Construction (now fixed),"Original text claimed precompile 'preserves zero-knowledge property'; verified that SP1 default prove() is NOT ZK per Succinct docs.",high,documentation,FIXED in CLAUDE.md (now distinguishes EUF-CMA preservation from ZK; ZK marked as open/conditional with baseline-then-ZK arc). Today's 4× OOM attempts confirm: ZK wrap exceeds 24 GB.,done
D5,bdec_v1.pdf vs ProSec2024.pdf,"Construction divergences: (a) user-signs (paper) vs TA-signs (bdec_v1); (b) k+2 sig verifications (paper) vs 2k+1 (bdec_v1); (c) Merkle/non-revoke outside SNARK (paper) vs inside (bdec_v1); (d) implicit A' (paper) vs explicit ϕ (bdec_v1).",high,decision required,Operator decision: keep bdec_v1 (recommended) and document divergence as thesis contribution OR revert to paper. Reconciliation table + LaTeX divergence remark drafted in conversation; not yet pasted to overleaf.,decision pending
D6,references/PLUM paper §3.3 p.123,"Printed p_0 = 25955366385296571073907086806836816173771 is composite (smallest prime factor 97). Rust implementation substitutes near-by 199-bit p_0 = 25953665385296571073907086806836816188273 preserving bit-width, 2-adicity, t-divisibility.",medium,disclosure,Already disclosed in CLAUDE.md §Parameter rationale. ACTION ITEM: contact PLUM authors for canonical p_0.,disclosure done; author contact pending
D7,SP1 docs verbatim quote,"'individual STARK proofs in SP1 do not currently satisfy the zero-knowledge property' — verified via WebFetch of docs.succinct.xyz/docs/sp1/security/security-model.",none,n/a,VERIFIED. Quote is verbatim accurate. Safe to cite.,done
D8,Cell 4 (PLUM-Griffin in Aurora/STIR),"Reference baseline cell from four-cell design. NOT MEASURED on M5 Pro. Loquat Table 2 measurements (Aurora ShowCre k=2..62) are on Intel Xeon W-2155 not M5 Pro.",high,measurement OR citation strategy,Either: (a) build Aurora-on-libiop locally and measure PLUM Verify R1CS at λ=80 on M5 Pro; (b) cite Loquat Table 2 numbers and disclose the hardware difference; (c) extrapolate.,thesis-defense critical
D9,Cell 2 + ZK wrap,"All 4 attempts OOM on M5 Pro 24 GB. Substrate-flexibility tax exceeds 24 GB for this workload. ZK property not 24-GB-tractable.",none,documentation,Document as the empirical FINDING (Option D). This is publishable evidence for 'design recommendation for personal-PC deployer'. Document in four_scheme_benchmark.md.,thesis writeup
D10,Component-level cycle attribution,"Cell 2 total = 125.5M cycles. Breakdown by PLUM Verify sub-component (Merkle, sumcheck, STIR, PRF check, FFT) currently theoretical from PLUM paper §4.2 only.",medium,measurement,Phase 11 ('three-level cycle attribution') commit (ab82ce1, 2026-05-15) did partial attribution. Extend: instrument each PLUM Verify sub-component with cycle-tracking syscall and re-run Cell 2 execute-mode.,thesis-strengthening
D11,four-scheme benchmark prove walls,"Only ECDSA and 3 PLUM cells have prove-mode wall times. SLH-DSA proxy / ML-DSA proxy / Loquat in-tree have only execute-mode cycle counts.",low,measurement,Run prove for SLH-DSA proxy, ML-DSA proxy, Loquat in-tree at least once each. Cycle counts already predict where they sit (sub-ECDSA-tier mostly).,thesis-strengthening
D12,η=4 STIR off-recommendation,"PLUM uses η=4 (vs STIR-recommended η=16). Reviewer may ask why Cell 4 (Aurora/STIR) is meaningful baseline when PLUM operates off-recommendation.",low,documentation,Already disclosed in CLAUDE.md §Parameter rationale. No re-measurement.,done
